id,logged_at,model_version,symbol,strike,option_type,direction,score,trend,mark,bid,ask,delta,theta,iv,volume,gex_negative,dex_bias,spy_price,surge,out_5m_price,out_5m_pnl,out_5m_correct,out_10m_price,out_10m_pnl,out_10m_correct,out_15m_price,out_15m_pnl,out_15m_correct,out_30m_price,out_30m_pnl,out_30m_correct
83,2026-03-11T16:33:12,v2.0,.SPY260311P677,677.0,Put,Bearish,58.8,Choppy,0.975,0.9,1.05,0.89,-0.04,14.55,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0
84,2026-03-11T16:33:16,v2.0,.SPY260311P681,681.0,Put,Bearish,54.6,Choppy,4.945,4.84,0.0,0.95,-0.01,51.41,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0
85,2026-03-11T16:34:11,v2.0,.SPY260311C672,672.0,Call,Bullish,47.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,,,
86,2026-03-11T16:34:11,v2.0,.SPY260311C673,673.0,Call,Bullish,44.4,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,,,
87,2026-03-11T16:34:13,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.85,-0.07,17.03,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,,,
88,2026-03-11T16:34:41,v2.0,.SPY260311P681,681.0,Put,Bearish,41.9,Choppy,4.945,4.84,0.0,0.94,-0.05,56.97,11724.0,0,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,,,
89,2026-03-11T16:35:11,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,,,
90,2026-03-11T16:35:13,v2.0,.SPY260311C673,673.0,Call,Bullish,41.9,Choppy,3.065,2.94,3.19,1.0,0.0,25.53,48176.0,0,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,,,
91,2026-03-11T16:35:13,v2.0,.SPY260311P677,677.0,Put,Bearish,46.6,Choppy,0.975,0.9,1.05,0.86,-0.06,16.29,224093.0,0,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,,,
92,2026-03-11T16:35:41,v2.0,.SPY260311P681,681.0,Put,Bearish,54.5,Choppy,4.945,4.84,0.0,0.95,-0.01,51.41,11724.0,1,Bullish,676.33,0,4.945,0.0,0,4.945,0.0,0,4.945,0.0,0,,,
93,2026-03-11T16:36:12,v2.0,.SPY260311C672,672.0,Call,Bullish,42.9,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,0,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,,,
94,2026-03-11T16:36:13,v2.0,.SPY260311C673,673.0,Call,Bullish,45.0,Choppy,3.065,2.94,3.19,0.98,-0.02,30.36,48176.0,1,Bullish,676.33,0,3.065,0.0,0,3.065,0.0,0,3.065,0.0,0,,,
95,2026-03-11T16:36:13,v2.0,.SPY260311P677,677.0,Put,Bearish,51.1,Choppy,0.975,0.9,1.05,0.91,-0.03,13.53,224093.0,1,Bullish,676.33,0,0.975,0.0,0,0.975,0.0,0,0.975,0.0,0,,,
96,2026-03-11T16:37:12,v2.0,.SPY260311C672,672.0,Call,Bullish,55.4,Choppy,4.04,3.94,4.14,1.0,0.0,0.0,16276.0,1,Bullish,676.33,0,4.04,0.0,0,4.04,0.0,0,4.04,0.0,0,,,
